,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
output,7642,0.5117252609846172,0.0833789695529407,0.0,0.4711111111111111,0.52,0.5644444444444444,1.0,0,0.0
input1,7642,0.5978801360900288,0.3132517202779908,0.0,0.25,0.5,1.0,1.0,0,0.0
input2,7642,0.8325751194059147,0.06881085062908857,0.0,0.810546875,0.84765625,0.875,1.0,0,0.0
input3,7642,0.9034231327974775,0.05512507237198067,0.0,0.8907185628742516,0.9161676646706588,0.9326347305389222,1.0,0,0.0
input4,7642,0.5007805352807007,0.04609871015570007,0.0,0.4674868189806678,0.4938488576449912,0.5325131810193322,1.0,0,0.0
input5,7642,0.569252914057939,0.09122533370305774,0.0,0.5384615384615384,0.5384615384615384,0.6153846153846154,1.0,0,0.0
input6,7642,0.37285345441138135,0.22513015419414895,0.0,0.1455241742460508,0.4021062709430351,0.6261369076112975,1.0,0,0.0
input7,7642,0.33375079301353355,0.07187132753557322,0.0,0.3141361256544502,0.3141361256544502,0.3664921465968587,1.0,0,0.0
input8,7642,0.6694205885221896,0.0456893829510864,0.0,0.6348012889366272,0.6670247046186896,0.6885069817400644,1.0,0,0.0
input9,7642,0.6021840310715134,0.06957026072641281,0.0,0.5681063122923589,0.6013289036544851,0.6345514950166113,1.0,0,0.0
input10,7642,0.06659635076957121,0.028996811731511914,0.0,0.049935149156939,0.059662775616083,0.0791180285343709,1.0,0,0.0
input11,7642,0.06327085526202675,0.02182919904260329,0.0,0.0547445255474452,0.0620437956204379,0.0711678832116788,1.0,0,0.0
input12,7642,0.5355069860972392,0.10670170166910616,0.0,0.4642857142857144,0.528061224489796,0.604591836734694,1.0,0,0.0
input13,7642,0.27005256041175957,0.11244446176590119,0.0,0.1944444444444444,0.25,0.3333333333333333,1.0,0,0.0
input14,7642,0.2878958387856582,0.07147478406123652,0.0,0.2340425531914893,0.2765957446808511,0.3191489361702128,1.0,0,0.0
input15,7642,0.21261411953013282,0.08865536931259048,0.0,0.1304347826086956,0.2028985507246376,0.2753623188405796,1.0,0,0.0
input16,7642,0.08601785983361483,0.03555306704753241,0.0,0.0572390572390572,0.074074074074074,0.0909090909090909,1.0,0,0.0
input17,7642,0.24586434102560153,0.08163295249088172,0.0,0.1999999999999999,0.2235294117647059,0.2823529411764706,1.0,0,0.0
input18,7642,0.0572509429057339,0.02968768386508779,0.0,0.0301003344481605,0.0635451505016722,0.0635451505016722,1.0,0,0.0
input19,7642,0.09011772635494229,0.02236021160529006,0.0,0.0793296089385475,0.0893854748603352,0.0994413407821229,1.0,0,0.0
input20,7642,0.4742457685844036,0.02602287996232711,0.0,0.4591194968553458,0.4716981132075471,0.4842767295597484,1.0,0,0.0
input21,7642,0.49545370226073643,0.09902345871853264,0.0,0.4333042720139495,0.4943330427201394,0.5553618134263295,1.0,0,0.0
